10.1109/JIOT.2014.2312291,Rersearch and development,del
10.1109/JIOT.2014.2302386,Microprogramming,add
10.1109/JIOT.2014.2306328,IEEE 802.15 Standards,add
10.1109/JIOT.2014.2297998,Acoustics,add
10.1109/JIOT.2014.2297998,Noise measurement,add
10.1109/JIOT.2014.2297998,Wireless communication,del
10.1109/JIOT.2014.2306673,Roaming,add
10.1109/JIOT.2014.2314132,Security,del
10.1109/JIOT.2014.2305667,Reactive power,add
10.1109/JIOT.2014.2308838,Wireless communication,del
10.1109/JIOT.2014.2310425,Time division multiple access,del
10.1109/JIOT.2013.2296516,Computer architecture,add
10.1109/JIOT.2014.2311693,Robot sensing systems,add
10.1109/JIOT.2014.2311693,Robot kinematics,del
10.1109/JIOT.2014.2311513,massive data analytics,del
10.1109/JIOT.2014.2311513,semantic,del
10.1109/JIOT.2014.2307077,Power supplies,del
10.1109/JIOT.2014.2316805,Downlink,add
10.1109/JIOT.2014.2316805,Device-to-device (D2D) communications,add
10.1109/JIOT.2014.2302534,Wireless communication,del
10.1109/JIOT.2014.2313459,Wireless communication,del
10.1109/JIOT.2014.2313459,network deployment optimization,add
10.1109/JIOT.2014.2301819,energy efficient,del
10.1109/JIOT.2014.2318835,Collaboration,add
10.1109/JIOT.2014.2318835,Clustering,del
10.1109/JIOT.2014.2319296,Micromachining,del
10.1109/JIOT.2014.2319296,Fluid flow measurement,del
10.1109/JIOT.2014.2322331,Wireless communication,add
10.1109/JIOT.2014.2322331,Headphones,del
10.1109/JIOT.2014.2322331,Electroencephalography,add
10.1109/JIOT.2014.2322606,Electricity,del
10.1109/JIOT.2014.2327587,Safety,del
10.1109/JIOT.2014.2327587,Wireless communication,add
10.1109/JIOT.2014.2327587,Reliability,del
10.1109/JIOT.2014.2329462,Wireless communication,add
10.1109/JIOT.2014.2329462,Computer architecture,add
10.1109/JIOT.2014.2337018,Resilience,del
10.1109/JIOT.2014.2337336,Computer architecture,del
10.1109/JIOT.2014.2337886,Safety,del
10.1109/JIOT.2014.2327587,Safety,add
10.1109/JIOT.2014.2327587,Reliability,add
10.1109/JIOT.2014.2327587,Wireless communication,del
10.1109/JIOT.2014.2329462,Computer architecture,del
