10.1109/JIOT.2014.2318793,IEEE publishing,add
10.1109/JIOT.2014.2312291,Network security,del
10.1109/JIOT.2014.2312291,Real-time systems,add
10.1109/JIOT.2014.2312291,Rersearch and development,del
10.1109/JIOT.2014.2312291,Mobile computing,del
10.1109/JIOT.2014.2312291,Wireless sensor networks,add
10.1109/JIOT.2014.2312291,Internet of Things,del
10.1109/JIOT.2014.2312291,Actuators,del
10.1109/JIOT.2014.2302386,Intelligent vehicles,del
10.1109/JIOT.2014.2302386,Linux,add
10.1109/JIOT.2014.2302386,Malware,del
10.1109/JIOT.2014.2302386,Network security,add
10.1109/JIOT.2014.2306328,Monitoring,add
10.1109/JIOT.2014.2306328,Smart homes,del
10.1109/JIOT.2014.2306328,Smart buildings,del
10.1109/JIOT.2014.2306328,IEEE 802.15 Standards,add
10.1109/JIOT.2014.2297998,Network security,add
10.1109/JIOT.2014.2297998,Acoustics,add
10.1109/JIOT.2014.2297998,Receivers,add
10.1109/JIOT.2014.2297998,Noise measurement,add
10.1109/JIOT.2014.2297998,Microphones,add
10.1109/JIOT.2014.2297998,Wireless communication,del
10.1109/JIOT.2014.2306673,Protocols,del
10.1109/JIOT.2014.2306673,Servers,del
10.1109/JIOT.2014.2306673,Internet of Things,del
10.1109/JIOT.2014.2314132,Electronic mail,del
10.1109/JIOT.2014.2314132,Energy consumption,add
10.1109/JIOT.2014.2314132,Wireless sensor networks,add
10.1109/JIOT.2014.2314132,Computational modeling,del
10.1109/JIOT.2014.2314132,Security,del
10.1109/JIOT.2014.2305667,Real-time systems,add
10.1109/JIOT.2014.2305667,Electricity supply industry,del
10.1109/JIOT.2014.2305667,Algorithms,del
10.1109/JIOT.2014.2305667,Reactive power,add
10.1109/JIOT.2014.2305667,Distributed processes,del
10.1109/JIOT.2014.2305667,Online services,del
10.1109/JIOT.2014.2305667,Smart grids,del
10.1109/JIOT.2014.2305667,Internet of Things,add
10.1109/JIOT.2014.2305667,Power demand,add
10.1109/JIOT.2014.2308838,Transceivers,add
10.1109/JIOT.2014.2308838,Communication system security,del
10.1109/JIOT.2014.2308838,Timing analysis,add
10.1109/JIOT.2014.2308838,IEEE 802.11 Standards,add
10.1109/JIOT.2014.2308838,Wireless communication,del
10.1109/JIOT.2014.2308838,Green design,del
10.1109/JIOT.2014.2310425,Scalability,add
10.1109/JIOT.2014.2310425,Media Access Protocol,del
10.1109/JIOT.2014.2310425,Optimization,del
10.1109/JIOT.2014.2310425,Internet of Things,del
10.1109/JIOT.2013.2296516,network architecture,add
10.1109/JIOT.2013.2296516,noise mapping,del
10.1109/JIOT.2013.2296516,Telecommunication services,del
10.1109/JIOT.2013.2296516,Information management,add
10.1109/JIOT.2013.2296516,Internet of Things (IoT),add
10.1109/JIOT.2013.2296516,Internet of Things,del
10.1109/JIOT.2013.2296516,Wireless sensor networks,add
10.1109/JIOT.2013.2296516,Computer architecture,add
10.1109/JIOT.2013.2296516,Quality of service,del
10.1109/JIOT.2014.2311693,machine-to-machine (M2M) communications,add
10.1109/JIOT.2014.2311693,Intelligent sensors,del
10.1109/JIOT.2014.2311693,Machine-to-machine communication,add
10.1109/JIOT.2014.2311693,Wireless sensor networks,add
10.1109/JIOT.2014.2311693,Logic gates,del
10.1109/JIOT.2014.2311693,Robot kinematics,del
10.1109/JIOT.2014.2311693,Cyber-physical systems (CPSs),add
10.1109/JIOT.2014.2311513,Social network services,add
10.1109/JIOT.2014.2311513,massive data analytics,del
10.1109/JIOT.2014.2311513,Semantics,add
10.1109/JIOT.2014.2311513,semantic,del
10.1109/JIOT.2014.2311513,Internet of Things,add
10.1109/JIOT.2014.2311513,Cognitive radio,del
10.1109/JIOT.2014.2311513,Wireless sensor networks,del
10.1109/JIOT.2014.2311513,decision-making,add
10.1109/JIOT.2014.2311513,Data processing,del
10.1109/JIOT.2014.2311513,knowledge discovery,del
10.1109/JIOT.2014.2311513,Object recognitoin,del
10.1109/JIOT.2014.2313981,Biomedical monitoring,del
10.1109/JIOT.2014.2313981,Temperature sensors,del
10.1109/JIOT.2014.2313981,wearable sensors,del
10.1109/JIOT.2014.2313981,Radiofrequency identification,add
10.1109/JIOT.2014.2313981,Internet of Things (IoT),add
10.1109/JIOT.2014.2313981,Internet of Things,del
10.1109/JIOT.2014.2313981,Monitoring,add
10.1109/JIOT.2014.2313981,Medical services,del
10.1109/JIOT.2014.2307077,Energy management,add
10.1109/JIOT.2014.2307077,Switches,add
10.1109/JIOT.2014.2307077,Electricity supply industry,add
10.1109/JIOT.2014.2307077,green buildings,del
10.1109/JIOT.2014.2307077,Power supplies,del
10.1109/JIOT.2014.2307077,Internet of Things,add
10.1109/JIOT.2014.2307077,Voltage measurement,del
10.1109/JIOT.2014.2307077,Ubiquitous computing,del
10.1109/JIOT.2014.2307077,energy reporting,del
10.1109/JIOT.2014.2307077,Monitoring,add
10.1109/JIOT.2014.2307077,Standards,add
10.1109/JIOT.2014.2307077,switched-mode power supply,add
10.1109/JIOT.2014.2316805,Mobile computing,del
10.1109/JIOT.2014.2316805,mobile networks,add
10.1109/JIOT.2014.2316805,mobile traffic offloading,add
10.1109/JIOT.2014.2316805,Energy consumption,add
10.1109/JIOT.2014.2316805,energy efficiency,del
10.1109/JIOT.2014.2316805,Device-to-device (D2D) communications,add
10.1109/JIOT.2014.2316805,Green products,del
10.1109/JIOT.2014.2316805,Air pollution,del
10.1109/JIOT.2014.2302534,opportunistic access,add
10.1109/JIOT.2014.2302534,Wireless communication,del
10.1109/JIOT.2014.2302534,Internet of Things,add
10.1109/JIOT.2014.2302534,Multiaccess communication,add
10.1109/JIOT.2014.2302534,Bit rate,add
10.1109/JIOT.2014.2302534,Throughput,add
10.1109/JIOT.2014.2313459,machine-type connectivity,add
10.1109/JIOT.2014.2313459,Internet-of-Things (IoT),del
10.1109/JIOT.2014.2313459,Factory-of-Things (FoT),del
10.1109/JIOT.2014.2313459,Wireless communication,del
10.1109/JIOT.2014.2313459,Solid modeling,del
10.1109/JIOT.2014.2313459,Cloud computing,del
10.1109/JIOT.2014.2313459,network deployment optimization,add
10.1109/JIOT.2014.2313459,wireless channel modeling,del
10.1109/JIOT.2014.2313459,Wireless sensor networks,add
10.1109/JIOT.2014.2313459,Smart design,add
10.1109/JIOT.2014.2313459,Channel capacity,add
10.1109/JIOT.2014.2313459,industrial wireless communication,del
10.1109/JIOT.2014.2301819,Base stations,add
10.1109/JIOT.2014.2301819,Sensors,add
10.1109/JIOT.2014.2301819,Energy consumption,add
10.1109/JIOT.2014.2301819,Optimization,add
10.1109/JIOT.2014.2301819,Internet of Things (IoT),add
10.1109/JIOT.2014.2301819,Wireless sensor networks,del
10.1109/JIOT.2014.2301819,green,add
10.1109/JIOT.2014.2301819,Green products,del
10.1109/JIOT.2014.2301819,Deployment,add
10.1109/JIOT.2014.2301819,energy efficient,del
10.1109/JIOT.2014.2318835,Collaboration,add
10.1109/JIOT.2014.2318835,Social network services,del
10.1109/JIOT.2014.2318835,Clustering,del
10.1109/JIOT.2014.2318835,Internet of Things,add
10.1109/JIOT.2014.2318835,Wireless sensor networks,del
10.1109/JIOT.2014.2318835,Ubiquitous computing,del
10.1109/JIOT.2014.2319296,Wind speed,add
10.1109/JIOT.2014.2319296,Temperature measurement,add
10.1109/JIOT.2014.2319296,Thermal analysis,add
10.1109/JIOT.2014.2319296,Temperature sensors,add
10.1109/JIOT.2014.2319296,Micromachining,del
10.1109/JIOT.2014.2319296,Two dimensional displays,add
10.1109/JIOT.2014.2319296,Fluid flow measurement,del
10.1109/JIOT.2014.2320260,Measurement,del
10.1109/JIOT.2014.2320260,Boundary conditions,add
10.1109/JIOT.2014.2320260,Image edge detection,add
10.1109/JIOT.2014.2320260,Global Positioning System,del
10.1109/JIOT.2014.2320260,Routing protocols,add
10.1109/JIOT.2014.2320260,Three-dimensional displays,add
10.1109/JIOT.2014.2322331,Electrodes,del
10.1109/JIOT.2014.2322331,Sensors,del
10.1109/JIOT.2014.2322331,Wireless communication,add
10.1109/JIOT.2014.2322331,Biomedical monitoring,del
10.1109/JIOT.2014.2322331,Headphones,del
10.1109/JIOT.2014.2322331,Wireless sensor networks,add
10.1109/JIOT.2014.2322606,Power demand,add
10.1109/JIOT.2014.2322606,Carbon dioxide,del
10.1109/JIOT.2014.2322606,Internet of Things,add
10.1109/JIOT.2014.2322606,Energy management,del
10.1109/JIOT.2014.2322606,Data centers,add
10.1109/JIOT.2014.2323395,IP networks,add
10.1109/JIOT.2014.2323395,Cryptography,add
10.1109/JIOT.2014.2323395,Materials,add
10.1109/JIOT.2014.2323395,Protocols,add
10.1109/JIOT.2014.2325071,Intelligent sensors,add
10.1109/JIOT.2014.2325071,Real-time systems,del
10.1109/JIOT.2014.2325071,Monitoring,del
10.1109/JIOT.2014.2325071,Cloud computing,add
10.1109/JIOT.2014.2325071,Clouds,del
10.1109/JIOT.2014.2327587,Wireless sensor networks,del
10.1109/JIOT.2014.2327587,Safety,del
10.1109/JIOT.2014.2327587,Wireless communication,add
10.1109/JIOT.2014.2327587,Communication system security,del
10.1109/JIOT.2014.2327587,Vehicles,del
10.1109/JIOT.2014.2327587,Reliability,del
10.1109/JIOT.2014.2329189,Data communication,del
10.1109/JIOT.2014.2329189,Monitoring,add
10.1109/JIOT.2014.2329189,Protocols,add
10.1109/JIOT.2014.2329189,Radiofrequency identification,add
10.1109/JIOT.2014.2329189,Data acquisition,add
10.1109/JIOT.2014.2329462,Monitoring,del
10.1109/JIOT.2014.2329462,Wireless sensor networks,del
10.1109/JIOT.2014.2329462,Medical services,add
10.1109/JIOT.2014.2329462,Wireless communication,add
10.1109/JIOT.2014.2329462,Standards,del
10.1109/JIOT.2014.2329462,Computer architecture,add
10.1109/JIOT.2014.2329462,Biomedical monitoring,add
10.1109/JIOT.2014.2332005,Organizations,add
10.1109/JIOT.2014.2332005,Payloads,del
10.1109/JIOT.2014.2332005,Servers,del
10.1109/JIOT.2014.2332005,Protocols,add
10.1109/JIOT.2014.2332005,Standards,del
10.1109/JIOT.2014.2332005,Subscriptions,add
10.1109/JIOT.2014.2332005,Internet of Things,add
10.1109/JIOT.2014.2334271,Servers,add
10.1109/JIOT.2014.2334271,Protocols,add
10.1109/JIOT.2014.2334271,Mobile handsets,add
10.1109/JIOT.2014.2334271,Prediction algorithms,add
10.1109/JIOT.2014.2334271,Sensors,del
10.1109/JIOT.2014.2337018,Game theory,del
10.1109/JIOT.2014.2337018,Resilience,del
10.1109/JIOT.2014.2337018,Robustness,add
10.1109/JIOT.2014.2337018,Internet of Things,add
10.1109/JIOT.2014.2337336,Monitoring,add
10.1109/JIOT.2014.2337336,Industries,add
10.1109/JIOT.2014.2337336,Standards,add
10.1109/JIOT.2014.2337336,Computer architecture,del
10.1109/JIOT.2014.2337336,Sensors,add
10.1109/JIOT.2014.2337336,Vehicles,add
10.1109/JIOT.2014.2337886,Intelligent sensors,del
10.1109/JIOT.2014.2337886,Safety,del
10.1109/JIOT.2014.2337886,Clouds,add
10.1109/JIOT.2014.2337886,Cloud computing,add
10.1109/JIOT.2014.2337886,Social network services,add
10.1109/JIOT.2014.2327587,Vehicles,del
10.1109/JIOT.2014.2327587,Communication system security,del
10.1109/JIOT.2014.2327587,Safety,add
10.1109/JIOT.2014.2327587,Wireless sensor networks,add
10.1109/JIOT.2014.2327587,Reliability,add
10.1109/JIOT.2014.2327587,Wireless communication,del
10.1109/JIOT.2014.2329189,Data communication,add
10.1109/JIOT.2014.2329189,Data acquisition,add
10.1109/JIOT.2014.2329189,Protocols,add
10.1109/JIOT.2014.2329189,Radiofrequency identification,del
10.1109/JIOT.2014.2329189,Monitoring,del
10.1109/JIOT.2014.2329462,Medical services,del
10.1109/JIOT.2014.2329462,Wireless sensor networks,add
10.1109/JIOT.2014.2329462,Computer architecture,del
10.1109/JIOT.2014.2329462,Monitoring,add
10.1109/JIOT.2014.2329462,Standards,add
10.1109/JIOT.2014.2329462,Wireless communication,add
10.1109/JIOT.2014.2329462,Biomedical monitoring,add
10.1109/JIOT.2014.2332005,Payloads,add
10.1109/JIOT.2014.2332005,Internet of Things,add
10.1109/JIOT.2014.2332005,Organizations,del
10.1109/JIOT.2014.2332005,Protocols,del
10.1109/JIOT.2014.2332005,Servers,del
10.1109/JIOT.2014.2332005,Standards,add
10.1109/JIOT.2014.2332005,Subscriptions,add
10.1109/JIOT.2014.2334271,Sensors,del
10.1109/JIOT.2014.2334271,Mobile handsets,add
10.1109/JIOT.2014.2334271,Protocols,add
10.1109/JIOT.2014.2334271,Prediction algorithms,add
10.1109/JIOT.2014.2334271,Servers,del
10.1109/JIOT.2014.2337018,Robustness,add
10.1109/JIOT.2014.2337018,Internet of Things,add
