10.1109/JIOT.2014.2312291,Mobile computing,del
10.1109/JIOT.2014.2302386,Mobile communication,add
10.1109/JIOT.2014.2306328,Smart buildings,del
10.1109/JIOT.2014.2306328,Business,del
10.1109/JIOT.2014.2297998,Receivers,add
10.1109/JIOT.2014.2297998,Noise measurement,add
10.1109/JIOT.2014.2297998,Microphones,add
10.1109/JIOT.2014.2297998,Smart phones,add
10.1109/JIOT.2014.2306673,Protocols,del
10.1109/JIOT.2014.2306673,Servers,del
10.1109/JIOT.2014.2306673,Roaming,add
10.1109/JIOT.2014.2314132,Electronic mail,del
10.1109/JIOT.2014.2314132,Computational modeling,del
10.1109/JIOT.2014.2314132,Energy efficiency,add
10.1109/JIOT.2014.2305667,Reactive power,add
10.1109/JIOT.2014.2305667,Distributed processes,del
10.1109/JIOT.2014.2308838,Timing analysis,add
10.1109/JIOT.2013.2296516,Internet of Things (IoT),add
10.1109/JIOT.2013.2296516,Quality of service,del
10.1109/JIOT.2014.2311693,Machine-to-machine communication,add
10.1109/JIOT.2014.2311693,Logic gates,del
10.1109/JIOT.2014.2311693,Robot kinematics,del
10.1109/JIOT.2014.2311693,Cyber-physical systems (CPSs),add
10.1109/JIOT.2014.2311513,Social network services,add
10.1109/JIOT.2014.2311513,cognitive radio network (CRN),add
10.1109/JIOT.2014.2311513,semantic,del
10.1109/JIOT.2014.2311513,Cognitive radio,del
10.1109/JIOT.2014.2311513,Cognitive Internet of Things (CIoT),add
10.1109/JIOT.2014.2311513,decision-making,add
10.1109/JIOT.2014.2311513,Data processing,del
10.1109/JIOT.2014.2311513,knowledge discovery,del
10.1109/JIOT.2014.2313981,Temperature sensors,del
10.1109/JIOT.2014.2313981,wearable sensors,del
10.1109/JIOT.2014.2313981,Internet of Things (IoT),add
10.1109/JIOT.2014.2313981,sensors,del
10.1109/JIOT.2014.2307077,Energy efficiency,del
10.1109/JIOT.2014.2307077,Voltage measurement,del
10.1109/JIOT.2014.2307077,energy reporting,del
10.1109/JIOT.2014.2307077,Standards,add
10.1109/JIOT.2014.2307077,switched-mode power supply,add
10.1109/JIOT.2014.2316805,Mobile computing,del
10.1109/JIOT.2014.2316805,mobile networks,add
10.1109/JIOT.2014.2316805,Mobile communication,add
10.1109/JIOT.2014.2316805,Downlink,add
10.1109/JIOT.2014.2316805,energy efficiency,del
10.1109/JIOT.2014.2316805,Green products,del
10.1109/JIOT.2014.2302534,Multiaccess communication,add
10.1109/JIOT.2014.2302534,Ad hoc networks,del
