10.1109/JIOT.2014.2318793,IEEE publishing,add
10.1109/JIOT.2014.2312291,Network security,del
10.1109/JIOT.2014.2312291,Privacy,del
10.1109/JIOT.2014.2312291,Wireless sensor networks,add
10.1109/JIOT.2014.2312291,Internet of Things,del
10.1109/JIOT.2014.2302386,Linux,add
10.1109/JIOT.2014.2302386,Mobile communication,add
10.1109/JIOT.2014.2302386,Microprogramming,add
10.1109/JIOT.2014.2302386,Computer viruses,add
10.1109/JIOT.2014.2302386,Network security,add
10.1109/JIOT.2014.2306328,Business,del
10.1109/JIOT.2014.2306328,IEEE 802.15 Standards,add
10.1109/JIOT.2014.2297998,Network security,add
10.1109/JIOT.2014.2297998,Receivers,add
10.1109/JIOT.2014.2297998,Microphones,add
10.1109/JIOT.2014.2306673,Privacy,del
10.1109/JIOT.2014.2306673,Protocols,del
10.1109/JIOT.2014.2306673,Authentication,add
10.1109/JIOT.2014.2306673,Servers,del
10.1109/JIOT.2014.2306673,Internet of Things,del
10.1109/JIOT.2014.2314132,Electronic mail,del
10.1109/JIOT.2014.2314132,Wireless sensor networks,add
10.1109/JIOT.2014.2314132,Computational modeling,del
10.1109/JIOT.2014.2314132,Security,del
10.1109/JIOT.2014.2314132,Games,del
10.1109/JIOT.2014.2314132,Energy efficiency,add
10.1109/JIOT.2014.2305667,Algorithms,del
10.1109/JIOT.2014.2305667,Internet of Things,add
10.1109/JIOT.2014.2305667,Power demand,add
10.1109/JIOT.2014.2308838,Timing analysis,add
10.1109/JIOT.2014.2308838,Green design,del
10.1109/JIOT.2014.2310425,Scalability,add
10.1109/JIOT.2014.2310425,Time division multiple access,del
10.1109/JIOT.2014.2310425,Internet of Things,del
10.1109/JIOT.2013.2296516,smart cities,del
10.1109/JIOT.2013.2296516,noise mapping,del
10.1109/JIOT.2013.2296516,Information management,add
10.1109/JIOT.2013.2296516,Internet of Things (IoT),add
10.1109/JIOT.2013.2296516,Internet of Things,del
10.1109/JIOT.2013.2296516,Wireless sensor networks,add
10.1109/JIOT.2013.2296516,Quality of service,del
10.1109/JIOT.2014.2311693,Robot sensing systems,add
10.1109/JIOT.2014.2311693,machine-to-machine (M2M) communications,add
10.1109/JIOT.2014.2311693,Wireless sensor networks,add
10.1109/JIOT.2014.2311693,Logic gates,del
10.1109/JIOT.2014.2311693,Robot kinematics,del
10.1109/JIOT.2014.2311693,Cyber-physical systems (CPSs),add
10.1109/JIOT.2014.2311513,cognitive radio network (CRN),add
10.1109/JIOT.2014.2311513,massive data analytics,del
10.1109/JIOT.2014.2311513,Semantics,add
10.1109/JIOT.2014.2311513,service provisioning,del
10.1109/JIOT.2014.2311513,Internet of Things,add
10.1109/JIOT.2014.2311513,Cognitive radio,del
10.1109/JIOT.2014.2311513,Cognitive Internet of Things (CIoT),add
10.1109/JIOT.2014.2311513,Wireless sensor networks,del
10.1109/JIOT.2014.2311513,knowledge discovery,del
10.1109/JIOT.2014.2311513,Object recognitoin,del
10.1109/JIOT.2014.2313981,Internet of Things (IoT),add
10.1109/JIOT.2014.2313981,RF identification (RFID),del
10.1109/JIOT.2014.2313981,Internet of Things,del
10.1109/JIOT.2014.2307077,Energy efficiency,del
10.1109/JIOT.2014.2307077,Energy management,add
10.1109/JIOT.2014.2307077,Switches,add
10.1109/JIOT.2014.2307077,Power supplies,del
10.1109/JIOT.2014.2307077,Internet of Things,add
10.1109/JIOT.2014.2307077,energy reporting,del
10.1109/JIOT.2014.2307077,Standards,add
10.1109/JIOT.2014.2316805,Mobile communication,add
10.1109/JIOT.2014.2316805,mobile traffic offloading,add
10.1109/JIOT.2014.2316805,Uplink,del
10.1109/JIOT.2014.2316805,Device-to-device (D2D) communications,add
10.1109/JIOT.2014.2316805,Green products,del
10.1109/JIOT.2014.2316805,Air pollution,del
10.1109/JIOT.2014.2302534,opportunistic access,add
10.1109/JIOT.2014.2302534,Carrier sensing multiple access/collision avoidance (CSMA/CA),add
10.1109/JIOT.2014.2302534,Internet of Things,add
10.1109/JIOT.2014.2313459,machine-type connectivity,add
10.1109/JIOT.2014.2313459,Internet-of-Things (IoT),del
10.1109/JIOT.2014.2313459,Factory-of-Things (FoT),del
10.1109/JIOT.2014.2313459,Cloud computing,del
10.1109/JIOT.2014.2313459,wireless channel modeling,del
10.1109/JIOT.2014.2313459,Wireless sensor networks,add
10.1109/JIOT.2014.2313459,Smart design,add
10.1109/JIOT.2014.2313459,Large-scale systems,add
10.1109/JIOT.2014.2313459,Channel capacity,add
10.1109/JIOT.2014.2313459,industrial wireless communication,del
10.1109/JIOT.2014.2301819,Sensors,add
10.1109/JIOT.2014.2301819,Internet of Things (IoT),add
10.1109/JIOT.2014.2301819,Wireless sensor networks,del
10.1109/JIOT.2014.2301819,green,add
10.1109/JIOT.2014.2301819,Energy efficiency,add
10.1109/JIOT.2014.2301819,Green products,del
10.1109/JIOT.2014.2301819,energy efficient,del
10.1109/JIOT.2014.2318835,Collaboration,add
10.1109/JIOT.2014.2318835,Clustering,del
10.1109/JIOT.2014.2318835,Internet of Things,add
